infinitive,simple past,past participle
abide,abode/abided,abode/abided/abidden
alight,alit/alighted,alit/alighted
arise,arose,arisen
awake,awoke,awoken
be,was/were,been
bear,bore,born
beat,beat,beaten
become,became,become
beget,begat/begot,begotten
begin,began,begun
behold,beheld,beheld
bend,bent,bent
bet,bet,bet
bid,bade,bidden
bind,bound,bound
bite,bit,bitten
bleed,bled,bled
blow,blew,blown
break,broke,broken
breed,bred,bred
bring,brought,brought
broadcast,broadcast/broadcasted,broadcast/broadcasted
build,built,built
burn,burnt/burned,burnt/burned
burst,burst,burst
bust,bust,bust
buy,bought,bought
can,could,could
cast,cast,cast
catch,caught,caught
chide,chid/chode,chid/chidden
choose,chose,chosen
clap,clapped/clapt,clapped/clapt
cling,clung,clung
clothe,clad/clothed,clad/clothed
come,came,come
cost,cost,cost
countersink,countersank/countersunk,countersunk
creep,crept,crept
cut,cut,cut
dare,dared/durst,dared
deal,dealt,dealt
dig,dug,dug
dive,dived/dove,dived
do,did,done
draw,drew,drawn
dream,dreamt/dreamed,dreamt/dreamed
drink,drank,drunk
drive,drove,driven
dwell,dwelt,dwelt/dwelled
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
fit,fit/fitted,fit/fitted
flee,fled,fled
fling,flung,flung
fly,flew,flown
forbid,forbade,forbidden
forecast,forecast/forecasted,forecast/forecasted
foresee,foresaw,foreseen
foretell,foretold,foretold
forget,forgot,forgotten
forgive,forgave,forgiven
forsake,forsook,forsaken
freeze,froze,frozen
frostbite,frostbit,frostbitten
get,got,gotten
give,gave,given
go,went,gone
grind,ground,ground
grow,grew,grown
handwrite,handwrote,handwritten
hang,hung/hanged,hung/hanged
have,had,had
hear,heard,heard
hide,hid,hidden
hit,hit,hit
hold,held,held
hurt,hurt,hurt
infinitive,simple past,past participle
inlay,inlaid,inlaid
input,input/inputted,input/inputted
interlay,interlaid,interlaid
keep,kept,kept
kneel,knelt/kneeled,knelt/kneeled
knit,knit/knitted,knit/knitted
know,knew,known
lay,laid,laid
lead,led,led
lean,leant/leaned,leant/leaned
leap,leapt/leaped,leapt/leaped
learn,learnt/learned,learnt/learned
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
lie,lied,lied
light,lit/lighted,lit/lighted
lose,lost,lost
make,made,made
may,might,
mean,meant,meant
meet,met,met
melt,melted,molten/melted
mislead,misled,misled
mistake,mistook,mistaken
misunderstand,misunderstood,misunderstood
miswed,miswed/miswedded,miswed/miswedded
mow,mowed,mown
must,had to,
offset,offset,offset
overcome,overcame,overcome
overdraw,overdrew,overdrawn
overhear,overheard,overheard
overtake,overtook,overtaken
partake,partook,partaken
pay,paid,paid
plead,pled/pleaded,pled/pleaded
preset,preset,preset
prove,proved,proven/proved
put,put,put
quit,quit,quit
re-prove,re-proved,re-proven/re-proved
read,read,read
relay,relaid,relaid
rend,rent,rent
rid,rid,rid
ride,rode,ridden
ring,rang,rung
rise,rose,risen
rive,rived,riven/rived
run,ran,run
saw,saw/sawed,sawn/sawed
say,said,said
see,saw,seen
seek,sought,sought
sell,sold,sold
send,sent,sent
set,set,set
sew,sewed,sewn/sewed
shake,shook,shaken
shall,should,
shave,shaved,shaven/shaved
shear,shore/sheared,shorn/sheared
shed,shed,shed
shine,shone,shone
shoe,shod,shod
shoot,shot,shot
show,showed,shown
shrink,shrank,shrunk
shut,shut,shut
sing,sang,sung
sink,sank/sunk,sunk/sunken
sit,sat,sat
slay,slew,slain
sleep,slept,slept
slide,slid,slid
sling,slung,slung
slink,slunk,slunk
slit,slit,slit
smell,smelt/smelled,smelt/smelled
sneak,sneaked/snuck,sneaked/snuck
soothsay,soothsaid,soothsaid
sow,sowed,sown
speak,spoke,spoken
speed,sped/speeded,sped/speeded
spell,spelt/spelled,spelt/spelled
spend,spent,spent
spill,spilt/spilled,spilt/spilled
spin,spun,spun
spit,spat,spat
split,split,split
spoil,spoilt/spoiled,spoilt/spoiled
spread,spread,spread
spring,sprang,sprung
stand,stood,stood
steal,stole,stolen
stick,stuck,stuck
sting,stung,stung
stink,stank,stunk
strew,strewed,strewn/strewed
stride,strode/strided,stridden
strike,struck,stricken/struck
string,strung,strung
strip,stript/stripped,stript/stripped
strive,strove,striven
sublet,sublet,sublet
sunburn,sunburned/sunburnt,sunburned/sunburnt
swear,swore,sworn
sweat,sweat/sweated,sweat/sweated
sweep,swept,swept
swell,swelled,swollen
swim,swam,swum
swing,swung,swung
take,took,taken
teach,taught,taught
tear,tore,torn
tell,told,told
think,thought,thought
thrive,throve/thrived,thriven/thrived
throw,threw,thrown
thrust,thrust,thrust
tread,trod,trodden
typeset,typeset,typeset
undergo,underwent,undergone
understand,understood,understood
undertake,undertook,undertaken
upsell,upsold,upsold
upset,upset,upset
vex,vext/vexed,vext/vexed
wake,woke,woken
wear,wore,worn
weave,wove,woven
wed,wed/wedded,wed/wedded
weep,wept,wept
wend,wended/went,wended/went
wet,wet/wetted,wet/wetted
will,would,
win,won,won
wind,wound,wound
withdraw,withdrew,withdrawn
withhold,withheld,withheld
withstand,withstood,withstood
wring,wrung,wrung
write,wrote,written
zinc,zinced/zincked,zinced/zincked